City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,wichita falls,33.9137,-98.4934,-383.602,47,75,17.27,US,1676058174
161,east london,-33.0153,27.9116,-330.53799999999995,82,100,8.1,ZA,1676058283
162,puerto cabello,10.4731,-68.0125,-289.47999999999996,80,58,14.88,VE,1676058283
163,kaitangata,-46.2817,169.8464,-363.352,71,19,2.33,NZ,1676058284
164,olavarria,-36.8927,-60.3225,-275.99799999999993,13,1,7.29,AR,1676058284
165,arlit,18.7369,7.3853,-321.844,14,1,10.42,NE,1676058285
166,sao filipe,14.8961,-24.4956,-333.38199999999995,75,95,8.5,CV,1676058285
167,bad essen,52.3167,8.3333,-384.12399999999997,74,62,13.98,DE,1676058286
168,shiraoi,42.55,141.35,-426.89199999999994,91,100,5.99,JP,1676058286
169,mar del plata,-38.0023,-57.5575,-317.794,83,20,14.97,AR,1676058141
170,shelburne,44.0787,-80.2041,-402.4839999999999,91,92,20.18,CA,1676058287
171,carman,49.4992,-98.0016,-401.94399999999996,59,57,10.36,CA,1676058288
172,nagato,34.3833,131.2,-373.52199999999993,68,97,9.53,JP,1676058288
173,sorland,67.667,12.6934,-405.56199999999995,62,100,23.76,NO,1676058289
174,ponta do sol,32.6667,-17.1,-349.86999999999995,82,100,10.78,PT,1676058289
175,port blair,11.6667,92.75,-317.758,73,4,2.3,IN,1676058290
176,lompoc,34.6391,-120.4579,-324.634,62,75,9.22,US,1676058290
177,bengkulu,-3.8004,102.2655,-324.99399999999997,89,42,8.34,ID,1676058291
178,iqaluit,63.7506,-68.5145,-508.828,67,20,12.66,CA,1676058291
179,borogontsy,62.6683,131.1683,-548.842,100,69,3.87,RU,1676058291
180,kahului,20.8947,-156.47,-323.14,76,40,18.99,US,1676058188
181,carauari,-4.8828,-66.8958,-307.74999999999994,74,74,1.1,BR,1676058292
182,klaksvik,62.2266,-6.589,-374.49399999999997,82,100,34.45,FO,1676058292
183,dzaoudzi,-12.7887,45.2699,-308.30799999999994,74,100,8.05,YT,1676058293
184,jingdezhen,29.2947,117.2079,-370.678,97,95,1.66,CN,1676058293
185,labuhan,-6.8844,112.2051,-319.576,87,100,8.93,ID,1676058294
186,gorontalo,0.5412,123.0595,-325.318,94,100,4.14,ID,1676058295
187,formosa do rio preto,-11.0483,-45.1931,-298.804,37,88,7.85,BR,1676058295
188,tyulyachi,55.8913,50.2399,-430.74399999999997,95,76,11.72,RU,1676058296
189,yankton,42.8711,-97.3973,-392.87199999999996,51,0,8.05,US,1676058296
190,kruisfontein,-34.0033,24.7314,-337.468,85,0,7.63,ZA,1676058138
191,atar,20.5169,-13.0499,-336.20799999999997,41,55,3.51,MR,1676058297
192,aqtobe,50.2797,57.2072,-427.828,86,100,20.13,KZ,1676058297
193,mingaora,34.7758,72.3625,-382.07199999999995,62,91,5.99,PK,1676058297
194,birjand,32.8663,59.2211,-407.70399999999995,74,0,9.22,IR,1676058298
195,pangani,-5.4333,38.9667,-319.41399999999993,88,65,7.7,TZ,1676058298
196,ancud,-41.8697,-73.8203,-349.45599999999996,80,99,12.44,CL,1676058299
197,moba,33.2288,105.0179,-397.498,90,100,5.88,CN,1676058299
198,asau,46.4333,26.4,-429.5739999999999,91,23,6.58,RO,1676058300
199,faanui,-16.4833,-151.75,-313.294,73,28,12.55,PF,1676058301
